word,x,y,x_mod,y_mod
xa,24.63830376,43.08157349,246.3830376,430.8157349
eight,4.787691116,-34.68540573,47.87691116,-346.8540573
warmer,-16.42329788,-49.66140366,-164.2329788,-496.6140366
global,40.51873016,31.39040184,405.1873016,313.9040184
emissions,40.88170624,-29.97920799,408.8170624,-299.7920799
continue,28.73433685,-18.2711792,287.3433685,-182.711792
current,23.29295349,-10.78277111,232.9295349,-107.8277111
path,0.132104516,-10.07360649,1.32104516,-100.7360649
small,15.24436951,-26.79131889,152.4436951,-267.9131889
grave,0.601649165,-16.29372406,6.01649165,-162.9372406
consequences,0.577483416,-15.93371296,5.77483416,-159.3371296
ones,8.745910645,-21.05054283,87.45910645,-210.5054283
already,-3.585554361,-18.48397064,-35.85554361,-184.8397064
becoming,-4.792394161,-21.32628632,-47.92394161,-213.2628632
apparent,21.38953209,-1.549595833,213.8953209,-15.49595833
every,-4.50823307,-10.23021984,-45.0823307,-102.3021984
living,0.426808685,-22.49845505,4.26808685,-224.9845505
thing,12.18431664,-5.08958292,121.8431664,-50.8958292
including,6.533000469,25.1643486,65.33000469,251.643486
us,-25.06119537,-1.898640513,-250.6119537,-18.98640513
According,-7.55744648,6.197557926,-75.5744648,61.97557926
National,-37.23394012,22.17245293,-372.3394012,221.7245293
Climate,-4.520793438,31.23091316,-45.20793438,312.3091316
Assessment,-11.05841446,45.88990021,-110.5841446,458.8990021
human,43.01628876,-0.858776808,430.1628876,-8.58776808
influences,23.97698975,-12.23936367,239.7698975,-122.3936367
number,-12.47021961,-11.40957832,-124.7021961,-114.0957832
warming,40.51758194,31.38931274,405.1758194,313.8931274
especially,9.139422417,-34.22430801,91.39422417,-342.2430801
carbon,40.28689194,-47.08504486,402.8689194,-470.8504486
pollution,-2.263976336,-25.72041321,-22.63976336,-257.2041321
burning,-4.320785999,-16.87481308,-43.20785999,-168.7481308
fossil,-5.085938454,-15.57025719,-50.85938454,-155.7025719
fuels,-5.030504704,-15.68568897,-50.30504704,-156.8568897
prevent,14.60106277,11.24376106,146.0106277,112.4376106
forests,-0.745530248,-23.29180717,-7.45530248,-232.9180717
dioxide,40.2857933,-47.08435822,402.857933,-470.8435822
methane,2.439194679,-49.57725906,24.39194679,-495.7725906
soot,-4.026647568,-32.47783279,-40.26647568,-324.7783279
pollutants,-4.051595211,-32.56722641,-40.51595211,-325.6722641
release,-16.90797997,7.996546268,-169.0797997,79.96546268
atmosphere,-3.695610285,-35.26222992,-36.95610285,-352.6222992
act,5.219869137,-12.71484852,52.19869137,-127.1484852
trapping,3.658138037,-47.04128647,36.58138037,-470.4128647
sun,38.91592026,-27.0315609,389.1592026,-270.315609
heat,12.98941517,-26.66141129,129.8941517,-266.6141129
causing,22.08380699,-42.86265182,220.8380699,-428.6265182
warm,-14.04043102,-50.87586212,-140.4043102,-508.7586212
Evidence,16.93871117,32.37973404,169.3871117,323.7973404
shows,-30.35757065,13.1164875,-303.5757065,131.164875
hotter,25.09763145,-39.93465424,250.9763145,-399.3465424
decade,25.19461441,-34.96053314,251.9461441,-349.6053314
past,0.447344124,-44.1597023,4.47344124,-441.597023
years,-34.38684464,-11.17815685,-343.8684464,-111.7815685
This,26.23485756,11.08609581,262.3485756,110.8609581
altering,4.786334038,-24.93907928,47.86334038,-249.3907928
system,22.40703011,-22.7083168,224.0703011,-227.083168
land,13.42917347,-33.45211411,134.2917347,-334.5211411
oceans,25.94986916,-36.98305511,259.4986916,-369.8305511
